MemberID,Sex,YearJoined,year,Status,Age,fitness,racquets,dock,city_dining,island_dining,bar_spending,other_spending
2824,M,2011,2017,ACTIVE,38,Y,N,N,49,460,275,507
2824,M,2011,2020,ACTIVE,41,Y,N,NA,NA,NA,NA,NA
619,M,2006,2017,ACTIVE,59,N,N,N,716,904,75,1620
619,M,2006,2020,ACTIVE,62,N,N,NA,NA,NA,NA,NA
2257,M,1987,2017,ACTIVE,65,Y,N,N,477,62,82,539
2257,M,1987,2020,ACTIVE,68,Y,N,NA,NA,NA,NA,NA
2826,M,2000,2017,ACTIVE,62,N,N,N,58,0,166,59
2826,M,2000,2020,HOLDOVER,65,N,N,NA,NA,NA,NA,NA
1109,F,2011,2017,ACTIVE,52,N,N,N,29,750,608,779
1109,F,2011,2020,ACTIVE,55,Y,N,NA,NA,NA,NA,NA
1828,M,1973,2017,ACTIVE,70,N,N,N,113,793,694,906
1828,M,1973,2020,ACTIVE,73,Y,N,NA,NA,NA,NA,NA
3450,M,2003,2017,ACTIVE,31,N,Y,N,34,0,442,34
